chunk,Question,Answer,Cluster_labels,index
"to the optical band gaps of 2.54 eV for azupyrene and 3.63 eV for pyrene, as determined by UV/Vis, yielding a deviation between (experimental) optical and (calculated) electronic band gaps of 0.42 eV for azupyrene and 0.20 eV for pyrene.The deviation between the electronic and the optical gap for azupyrene is in fact even larger due to the symmetry selection rules at play. The HOMO→LUMO dipole transition is symmetry forbidden for azupyrene and therefore the LUMO energy does not control the optical band gap. (It should be noted that the HOMO→LUMO transition might still be responsible for a very weak signal at about 1.8 eV as shown in Figure in the SI, which is neglected for the following calculations.) For pyrene, the HOMO→LUMO transition is allowed and determines the optical band gap. If the difference between the optical band gap and the electronic band gap is to be calculated in a meaningful manner using electronic ""frozen orbital"" transition energies, the LUMO has to be excluded for azupyrene. Accordingly, the DFT-calculated electronic band gap of azupyrene increases from 2.96 eV to 3.62 eV. With this value the difference between the DFT-based ""frozen orbital"" electronic band gap and the (experimental) optical band gap is 1.08 eV (= 3.62 eV -2.54 eV) for azupyrene, while the same difference is only 0.20 eV (= 3.83 eV -3.63 eV) for pyrene. The large deviation between the electronic and optical band gap for azupyrene is a direct consequence of its nonalternant -electron system. This topological property of azupyrene leads to a localization of the molecular orbitals. When an electron is excited into a higher lying orbital, then its initial and final orbitals can be located in different parts of the molecule, thus decreasing electron-electron repulsion in the excited state and lowering the transition energy. This explanation was already used to explain the color of the prototypical nonalternant molecule azulene.",Why is there a large deviation between the electronic and optical band gap for azupyrene?,"The large deviation between the electronic and optical band gap for azupyrene is a direct consequence of its nonalternant π-electron system. This topological property leads to the localization of molecular orbitals, which, when an electron is excited into a higher lying orbital, results in the initial and final orbitals being located in different parts of the molecule. This decreases electron-electron repulsion in the excited state and lowers the transition energy.","['Spectroscopy', 'Optical spectroscopy']",
"by trypsin and chymotrypsin that are widely distributed in the digestive tract. Depending on the enzyme for the treatment the degradation products were dipeptides or tripeptides, all of which have no antibacterial activity (Fig ). ε-Poly-L-lysine as a FDA approved antibacterial food additive showed slightly better antibacterial activity than K18S4, but slower bacteria-killing (Fig ). Although ε-Poly-L-lysine was degradable by specific enzymes produced by few specific types of microorganisms , it was highly stable in the presence of many common enzymes such as trypsin and chymotrypsin, and maintained the original antibacterial activity after treatment with trypsin and chymotrypsin (Fig ). Therefore, ε-Poly-L-lysine is not a suitable antibiotic substitute in aquaculture. After S. aureus was incubated with Dye-K18S4 and propidium iodide (PI, red fluorescence) for around 450s, a small amount of Dye-K18S4 began to accumulate in the cytoplasm without enrichment on the cell membrane beforehand (Fig ). At about 1260s, a burst of Dye-K18S4 and PI into the cytoplasm indicated critical damages on the cell membrane of S. aureus (Fig 4a ). The observed membrane damage was at the late stage of the bacteria-polymer interaction when S. aureus was killed by the peptide polymer. Since the Dye-K18S4 was not enriched on the cell membrane, the membrane damage may not be caused by Dye-K18S4 directly from the outside of the bacteria. Fluorescence intensity analysis across S. aureus cells, at 120s and 1500s after incubation, echoed above observation that Dye-K18S4 did not enrich either on the cell membrane or in the cytoplasm at an early stage, but enriched inside the cell at a late stage (Figure <ref",Why does ε-Poly-L-lysine maintain its original antibacterial activity even after treatment with enzymes like trypsin and chymotrypsin?,"ε-Poly-L-lysine maintains its original antibacterial activity after treatment with enzymes such as trypsin and chymotrypsin because it is highly stable in the presence of these common enzymes, showing resistance to degradation.","['Biomedical engineering and technology', 'Regenerative medicine']",
"target=""#fig_1"">2 and.Additionally, we measured absorbance spectra of the formed complex in the presence and in the absence of pyrophosphate (see Figure ). The AP ligand shows an absorbance peak at 505 nm [range of 400-1000 nm] whereas the formed complex displays an absorbance peak at 490 nm [range of 400-1000 nm]. The addition of 5 eq. of pyrophosphate to [Cu(AP)] allows an indicator displacement assay thus recovering the initial absorbance spectra of AP.In the next step, we screened a collection of anions against the copper-based inorganic complex [Cu(AP)]. Out of all the tested ions, only one was able to displace the AP ligand: pyrophosphate.The addition of pyrophosphate anions to the aqueous solution of this purple ensemble (see Figure ) resulted in the recovery of AP's spectroscopic properties (see Figures and). The present sensor exhibits excellent selectivity towards pyrophosphate ions over other anions, including phosphate and carbonate ions (see Figure ).",Why does the addition of pyrophosphate to the copper-based complex [Cu(AP)] result in the recovery of the initial absorbance spectra of AP?,"The addition of pyrophosphate results in the recovery of the initial absorbance spectra of AP because it displaces the AP ligand from the copper-based complex [Cu(AP)], allowing an indicator displacement assay.","['Metal organic frameworks', 'Sensing and detection']",
"of magnitude dissipative scale. However, the exponent in Eq. 33 may be masking the effects of other parameters since the experimental results lie between 𝜆 𝑔 𝑣′ ⁄ and 𝜆/𝑣 ′ and both 𝜆 𝑔 𝑣′ ⁄ and 𝜆/𝑣 ′ depend on ( 𝜈 𝜖 ) 0.5.Figure suggests that there is an additional parameter besides 𝜈 𝜖 ⁄ that should be included to accurately calculate 2L. When normalized by 𝜆 the only scale ratio that is a function of 𝜈 𝜖 ⁄ is 2L. The slopes of the ratios 𝜆 𝑔 /𝜆, 𝜆/𝜆 and 𝜂/𝜆 are flat while the slope for 2L/λ shows a downward trend. Liquid sheets are relatively thin and the flow in the impingement zone may not be fully developed turbulence; therefore, this additional parameter is postulated to be the Reynolds number. ",What does the figure suggest should be included besides 𝜈 𝜖 ⁄ to accurately calculate 2L?,an additional parameter,"['Energy', 'Renewable energy sources']",
"Expression and purification of paF MS2:Glycerol stocks of E. coli containing plasmids for the T19paF mutant of MS2 were generously provided by Ioana Aanei. The T19paF MS2 expression was carried out in minimal media following the published protocol. The pellets were thawed and re-suspended in 20 ml of 20 mM taurine buffer (pH 9) containing 6.5 mM DTT, 6 mM MgCl 2 , and 10 µg/ml each of DNase and RNase. Following sonication for 10 min, the cells were spun down for 45 min at 11,000 rpm. Next, the supernatant was applied to a DEAE-Sephadex column (GE Healthcare, Little Chalfont, United Kingdom). In 20 mM pH 9 taurine buffer, MS2 eluted first from the DEAE column and was collected and precipitated using an equal volume of saturated aqueous ammonium sulfate. The protein pellets were re-suspended in 10 mM pH 7.2 phosphate buffer and applied to a Sephacryl S1000 column (GE Healthcare). The fractions containing MS2 were then collected and concentrated using Amicon Ultra 100 kDa MWCO centrifugal concentrators (Millipore). A yield of 3 mg/L culture was obtained for T19paF MS2 following two rounds of purification. MS2 paF sequence:T in red represents the T19paF mutation site: ",In what was the T19paF MS2 expression carried out?,minimal media,"['Catalysis', 'Enzymatic catalysis']",
"excitation energy and oscillator strength are close to those associated with the transition to the 1 2 Π state in CaCCH.In particular, excitation energy and oscillator strength are lowered by 0.009 eV and 0.014, respectively, in MgCCCa as compared to CaCCH, reflecting small but noticeable interaction.Generally, for heavier alkaline earth metals and higher-lying states, the change in the excitation energy in ACCB relative to the respective ACCH, tends to increase due to more diffuse character of the corresponding orbitals. For example, in CaCCSr excitation energy to 2 1 ∆ state is shifted by 0.079 eV relative to the excitation energy to 1 2 ∆ state in CaCCH (Table in SI).Inspection of the energy diagrams in Figure shows that the spectra of ACCB molecules corresponds to the sum of the ACCH and BCCH spectra with the presence of the ionic states.The effective number of entangled states for these transitions is smaller than in ACCA, reflecting an independence in the electronic excitation of each electron in ACCB (compare Z HE in Table and S5 in SI).  in SI.In conclusion, using EOM-DEA-CCSD approach we investigated the electronic structure of hypermetallic molecules with two alkaline earth metals separated by the acetylene linker-a promising platform for applications in QIS and precision measurements. We showed that the electronic structure of homosymmetric molecules closely resembles that of two alkali metals, however, the presence of the acetylene linker introduces distinct features to their electronic structure properties that are not present in the diatomic analogues.First, negatively charged carbon atoms in the linker polarize both unpaired electrons via orbital hybridization turning them away from each other and thus minimizing the throughspace interaction between the electrons.Second, the",How do negatively charged carbon atoms in the acetylene linker affect the unpaired electrons?,"Negatively charged carbon atoms in the linker polarize both unpaired electrons via orbital hybridization, turning them away from each other and thus minimizing the through-space interaction between the electrons.","['Quantum and theoretical chemistry', 'Quantum computing']",
"Network Hamiltonian simulations of amyloid fibril formationNetwork Hamiltonian models are a type of highly computationally efficient coarsegrained (CG) molecular simulation, which are capable of reproducing multiple known experimental observables (e.g. topological structures measured via NMR and fibril formation kinetics data from dye-binding fluorescence assays ), and can provide insight into the complex interactions between proteins that lead to the formation of amyloid fibrils. By sacrificing atomic-level details, these models can capture the essential interactions and dynamics that drive amyloid aggregation. This facilitates the discovery of assembly mechanisms and provides insight into the structure and stability of amyloid fibrils. In contrast to particle-based simulations, these simulations capture essential interactions and dynamics for non-covalent bond formation and breakage between aggregating proteins by direct dynamical modeling of graph structures. This approach of directly modeling network dynamics allows for exploration of timescales and larger system sizes many orders of magnitude larger than what is tractable using particle-based methods. Model parameterization is validated such that models are able to reliably reproduce experimentally measured mature fibril structures as an emergent phenomenon. Network Hamiltonian simulations can offer valuable insights into the thermodynamics, kinetics, and structural transitions involved in amyloid fibril assembly, which can aid in identifying targets for the design of potential therapeutic strategies; however, substantial technical challenges are inherent to parameter selection, as the parameter space is fraught with discontinuities and nonlinearities . These challenges are some of the primary motivations for the present",Why are Network Hamiltonian models effective in simulating amyloid fibril formation?,Network Hamiltonian models are effective in simulating amyloid fibril formation because they are computationally efficient and capable of capturing essential interactions and dynamics by sacrificing atomic-level details. This approach allows them to reproduce multiple known experimental observables and provides insights into the complex interactions between proteins that lead to amyloid fibril formation.,"['Biomedical engineering and technology', 'Regenerative medicine']",
"Figure 7 .7Figure 7. (a) HOMA analysis for azupyrene and pyrene, based on their DFT-optimized structures (PBE functional). The red-shaded color scheme indicates the HOMA values according to the provided scale. The fillings represent the HOMA values of the individual rings (R). The perimeter bonds are red-colored according to the perimeter HOMA value (P), and the bridging bonds are red-colored according to the overall HOMA value (O). All bonds are additionally colored with a blue color scheme representing the deviation of the bond length from the ideal aromatic bond length Ropt. For the definition of EPC, see the text. (b) Comparison of the regular resonance structures with the conjugation patterns determined by the HOMA analysis. The conjugation in pyrene can be described as doubly ethenediyl bridged biphenyl with two Clar sextets, whereas the conjugation in azupyrene is best described as a [14]annulene with an isolated, -bonded C2 unit in the center.",How can the conjugation in pyrene be described?,As doubly ethenediyl bridged biphenyl with two Clar sextets,"['Spectroscopy', 'Optical spectroscopy']",
"is a slight observable trend with time in the modeled data corresponding to an increase in T 1 absorption at 504 nm relative to the GSB. The difference between the shape of the experimental and modeled spectra (Fig. )), shows a negative trend as a function of time that is centered at 504 nm. This result confirms that the amount of T 1 predicted here using the upper bound for the ISC rate constant that we have determined is an overestimate, and thus the true ISC rate constant is lower than this value.The upper bound of k ISC for TIPS-Pn is greater than the pseudo-first-order SF rate constant (k SF [S 0 ]) up to a concentration of 1.45 mM, where k ISC and k SF [S 0 ] are equal. Based on the kinetic model and these rate constants, at 8 mM, ISC could account for up to 10% of triplets formed after 8 ns. So the assumption of negligible ISC made when fitting the bimolecular SF rate above is potentially invalid. We therefore refit the model with k ISC equal to 3.08 × 10 6 s -1 and found that for this level of ISC, k SF fits to lower range of (2.5 ± 0.6) × 10 9 M -1 s -1 (compared to (2.7 ± 0.6) × 10 9 M -1 s -1 for no ISC) (Table ). This analysis is shown in detail in Sec. S4.2.2 of the supplementary material. The fit to the deconvoluted TA data at both 0.05 mM and 8 mM using these rate constants is given in Fig. . We emphasize that this fit only uses an upper bound of ISC; the true ISC rate constant may be significantly lower. Considering the uncertainty in the ISC rate constant, the range of bimolecular SF rate constants becomes 1.9×10 9 M -1 s -1 (lower bound of T 1 concentration, upper bound of ISC) to 3.3×10 9 M -1 s -1 (upper bound of T 1 concentration, no ISC), or (2.6 ± 0.7) × 10 9 M -1 s -1 . Using the lower bound of this adjusted rate at 0.05 mM results in a revised 2.4 × 10 -10 M of T 1 formed due to SF, which is still substantially lower than",Why might the true ISC rate constant be lower than the upper bound used in the model?,"The true ISC rate constant might be lower than the upper bound used in the model because the difference between the shape of the experimental and modeled spectra shows a negative trend as a function of time, which confirms that the amount of T1 predicted using the upper bound for the ISC rate constant is an overestimate.","['Energy', 'Photovoltaics']",
"Discussion of Reaction MechanismThe outcomes derived from the photocatalytic experiments demonstrate the efficacy of UiO-66-NDC in decomposing the designated organic dyes. The superior photocatalytic performance of UiO-66-NDC can be ascribed to its distinctive attributes, such as elevated specific surface area, porous configuration, and the existence of active sites for the degradation of dyes. The h + vb + H2O ⇄ H + + . OH (5)h + vb + OH -⇄ . OH(6)e -cb + O2 ⇄ O2 -UiO-66-NDC exhibits significant photocatalytic efficacy for the degradation of the dyes RO16, MO, and RhB, with respective efficiencies of 97%, 99%, and 91%. Photocatalysis is characterized by the generation of reactive oxygen species (ROS) that initiate oxidation reactions leading to the degradation of dye molecules. Several factors, including the molecular weight, dye structure, and unique characteristics of UiO-66-NDC, can impact the efficacy of dye removal. Optimal results were achieved with a catalyst concentration of 300 mg/L, as higher dosages led to reduced efficiency due to particle agglomeration and decreased light access to active sites.Higher initial dye concentrations also resulted in reduced removal rates due to increased competition for reactive radicals. The study highlighted the importance of understanding initial dye concentration for wastewater treatment. The study assessed UiO-66-NDC's reusability, showing a gradual decline in catalytic efficiency with each cycle due to active site depletion.Despite this, it demonstrated environmental sustainability and economic feasibility for water remediation, with some limitations in long-term reuse. Kinetic studies supported the applicability of a pseudo-first-order kinetic model, indicating the catalyst's effectiveness and recyclability.Reactive oxygen species (ROS) played a",What are the advantages and disadvantages of using UiO-66-NDC in photocatalytic applications?,"Advantages include high photocatalytic efficacy, elevated specific surface area, porous configuration, and active sites for dye degradation. Disadvantages include reduced efficiency with higher catalyst dosages due to particle agglomeration and decreased light access, and a gradual decline in catalytic efficiency with each reuse cycle due to active site depletion.","['Metal organic frameworks', 'Catalytic applications']",
".The 77 K resonance Raman spectrum of lycopene in diethyl ether (polarizability 0.230) is shown in figure . The 1 band is observed at 1517 cm -1 , a frequency expected for a carotenoid containing eleven conjugated C=C bonds (it may downshift up to 2 cm -1 for highly polar solvents). The 2 region displays a main band at 1155 cm -1 and is typical for lycopene in the all-trans configuration. Finally, the 4 region exhibits a small, structure-less envelope characteristic of carotenoid in a relaxed conformation in solution. Figure shows the equivalent spectrum for lycopene aggregates measured using five different excitation wavelengths (363.8, 488.0, 501.7, 514.5, and 577.0 nm) (for room temperature resonance Raman, see supporting information, figure ). The position of the 1 band of lycopene aggregates exhibits a clear dependence on the excitation wavelength, peaking at 1511, 1529, 1526, 1522 & 1511 cm -1 for 363.8, 488.0, 501.7, 514.5, & 577.0 nm excitation, respectively. At 488.0, 501.7 and 514.5 nm, it is accompanied by a small shoulder at 1511 cm -1 whose intensity decreases as the excitation moves to the red. Monomeric lycopene may absorb at 488.0, 501.7 and 514.5 nm, but the position of the corresponding 1 bands (1529, 1526, and 1522 cm -1 ) are shifted to higher frequencies relative to lycopene in ethyl acetate (1517 cm -1 ), indicating that no lycopene monomers are present in the sample . The 2 region retains the characteristic profile of alltrans lycopene, indicating that the aggregation process induces no isomerization of the molecule.The 4 region exhibits sharp vibrational modes at 953, 958, and 966 cm -1 for 577.0 nm and 363.8 nm (although 966 cm -1 is somewhat obscured by the solvent band for 363.8 nm excitation). The conformation, whereas species 3 is somewhat twisted/bent. Assignment of the absorption bands at",At what frequency is the 1 band observed for a carotenoid containing eleven conjugated C=C bonds?,1517 cm -1,"['Spectroscopy', 'Optical spectroscopy']",
"JUC-557-nanosheet combined with Fe 3+ for the detection of anionsSubsequently, we evaluated fluorescence sensing and selective recognition of JUC-557-nanosheet for anions, including SO 4 2-, CO 3 2-, F -, Cl -, Br -, and I -. Pure JUC-557-nanosheet showed low sensitivity for various anions (Supplementary Fig. ). However, the system of JUC-557-nanosheet combined with Fe 3+ was much more sensitive for specific halide anions, such as F -and I -(Fig. ). The residual fluorescence intensity of JUC-557-nanosheet after adding Fe 3+ (c = 60 µg mL -1 ) was approximate 20%. However, when F -ion was added into this system, the fluorescence of JUC-557-nanosheet with Fe 3+ was remarkably enhanced (up to 38%), which could be attributed to the formation of a stable coordination complex, FeF 6 3-. The quenched fluorescence of JUC-557-nanosheet with Fe 3+ could not be fully recovered because there may be a competitive equilibrium between the cyan group and F -with Fe 3+ . Interestingly, different from the detection of F -, the addition of I -resulted in an even more fluorescence decrease of JUC-557-nanosheet with Fe 3+ (as low as 6%) since I -can be oxidized to I 2 by Fe 3+ ions.Although partial Fe 3+ ions were consumed during the formation of I 2 , the decline of fluorescence of JUC-557-nanosheet with Fe 3+ was obvious, which may be because the nanosheet with Fe 3+ was more sensitive to the generated I 2 . This finding enlightens us to exploit the detecting functions of this material for I 2 .",Why does the fluorescence of JUC-557-nanosheet with Fe 3+ decrease significantly upon the addition of I-?,"The significant decrease in fluorescence of JUC-557-nanosheet with Fe 3+ upon the addition of I- can be attributed to the oxidation of I- to I2 by Fe 3+ ions. This reaction consumes some of the Fe 3+ ions, leading to a more pronounced fluorescence decline as the nanosheet with Fe 3+ becomes more sensitive to the generated I2.","['Metal organic frameworks', 'Sensing and detection']",
"Figure 6 :6Figure 6: Echo intensity as a function of inter-pulse delay 𝜏, recorded on the signal maximum at 9.615 GHz, 343 mT (black). The data were fitted to a stretched exponential function 𝑦 = 𝐴𝑒 () !"" # $ * Figure 7 :7Figure 7: Oscillatory part of the Dual-Frequency Hahn echo decay (black), isolated by division of the raw data by the equivalent Single-Frequency Hahn echo decay and manually background corrected.This shows very similar oscillations to the comparable DEER data (orange). Time corresponds to 𝜏 for the Hahn echo decay and 𝑡 for the DEER experiments. All pulses were 80 ns in length, and all data were detected at 𝜈 # (9.69 GHz) at 343 mT, with pulses at the non-detection frequency at 𝜈 "" (9.54 GHz) where applicable. Figure 8 :8Figure 8: a. The fitted, normalised expectation values of the Cartesian operators (green) and reference values from an ideal DFHE (black). b. The real (left) and imaginary (right) components of the elements of the density matrix, with fitted values in green and reference values in black. c. and d. Experimental DEERATom time traces (black) and corresponding fits (blue and orange) recorded with the pair of operations 1 "" 1 # , detected at 𝜈 "" and 𝜈 # , respectively. Data were background corrected and normalised, with the real component denoted as I and the imaginary part as Q.",How do the oscillations in the Dual-Frequency Hahn echo decay compare to those in the DEER data?,The oscillations in the Dual-Frequency Hahn echo decay are very similar to those in the DEER data.,"['Quantum and theoretical chemistry', 'Quantum computing']",
"stress for each linker is reached at approximately 0.014 compressive strain. The H4FBCDC ligand reaches the maximum yield stress at 1.30 nN, which is higher compared to the H4BBCDC that demonstrates an inelastic transition at 1.02 nN. Furthermore, the Young's modulus, reflected by the linear slope of the stress-strain curve, is also larger for H4FBCDC. The demonstrated strain resistance behavior shows that the intended linker is more rigid than the DUT-49 linker, which follows chemical intuition based on comparison of the chemical structures.These simulations also demonstrate the overall deflection for the H4BBCDC is larger than for H4FBCDC. The pore sizes of the related op-phases of corresponding MOFs do not differ significantly, as shown in the supplementary information section 3.3.7. The performance of an NGA material cannot be directly derived from the stress strain curve, however, the increased rigidity of H4FBCDC is expected to permit a overloading of the metastable state, increasing the NGA step. However, increased rigidity may also lead to a reduction of the ligand's deflection which in turn could lead to a hindered contraction. ",What is the maximum yield stress reached by the H4FBCDC ligand?,1.30 nN,"['Metal organic frameworks', 'Catalytic applications']",
"IntroductionMolecular mechanics (MM) force fields for biomolecular simulations have been under continuous development for many years. In traditional transferable force fields, every atom in a molecule is assigned a type based on its atomic number, bonding and local chemical environment. The atom type then dictates the parameters that are used to model that atom's interactions. The force field parameters for each atom type are stored as a library, which is built by carefully reproducing the experimental or quantum mechanical properties of a benchmark set of small molecules. Due to the infeasibility of accurately parameterizing all of chemical space, a balance must be made between the size of the library and potential inaccuracy due to transferring parameters to molecules outside the fitting set. In many cases, it is acknowledged that transferable force fields are not sufficiently accurate. When building force fields for small molecules, the atomic charges are usually assigned in a system-specific or ""bespoke"" manner, using methods such as RESP, CM1, or AM1-BCC. This is because it is well-known that atomic charges polarize in response to their chemical environment (for example, the presence of electron",Why are atomic charges usually assigned in a system-specific or 'bespoke' manner when building force fields for small molecules?,Atomic charges are usually assigned in a system-specific or 'bespoke' manner when building force fields for small molecules because it is well-known that atomic charges polarize in response to their chemical environment.,"['Quantum and theoretical chemistry', 'Unclassified']",
"and influence catalytic tests. 43 6a and the related complex [(1b)AgCl]2 (6b) were independently synthesized by combining 1 with AgCl in a 1:1 stoichiometry in CH2Cl2 and continued stirring for 16 h under the exclusion of light afforded 6a and 6b as colourless air and moisture stable crystalline solids. In the 31 P NMR spectra 6a and 6b show two doublets due to coupling with the two spin ½ silver isotopes ( 107 Ag and 109 Ag) at 99.3 ( 1 J109Ag,P = 862.3 Hz, 1 J107Ag,P = 746.4 Hz) and 94.3 ppm ( 1 J109Ag,P = 864.0 Hz, 1 J107Ag,P = 748.9 Hz), respectively. X-ray quality crystals were grown from saturated acetone solutions in air. 6a and 6b (Figure ) crystallize as centrosymmetric dimers in the monoclinic spacegroup P21/c with two molecules in the unit cell, and in the orthorhombic spacegroup Pbca with four molecules in the unit cell, respectively. The molecular structures show a µ-Cl bridged dimer with a deltoid Ag2Cl2 core coordinated by two ligands 1a or 1b, respectively.  Complexes with a (Ag-µ-Cl)2 core comprising a single phosphine ligand on Ag are rare and restricted to bulky monodentate phosphine ligands, such as P(NC 4H8NMe)3, 45 Ph2P(CH2)PPh2C(H)C(O)C6H4Cl, and the simple PcHex3. To further characterize the electronic character of bisaminoterphenylphosphine ligands DFT calculations were carried out to determine the theoretical TEP-value (TEPNi,theo) of bisaminoterphenylphosphines 1. Therefore, the complexes [(1a)•Ni(CO)3] and [(1b)•Ni(CO)3] were constructed in silico and their gas-phase structures were optimized at the BP86/def2SVP level of theory and confirmed as minima by frequency analyses. Of the resulting unscaled frequencies, the A1 symmetrical CO stretching mode was chosen for the evaluation of the donor parameters. To fit the theoretical frequencies",What is the step after combining 1 with AgCl in a 1:1 stoichiometry in CH2Cl2 in the synthesis of complexes 6a and 6b?,Continued stirring for 16 hours under the exclusion of light.,"['Quantum and theoretical chemistry', 'Unclassified']",
"The timescales of long-time atomistic molecular dynamics simulations are typically reported in microseconds, while the timescales for experiments studying the kinetics of amyloid fibril formation are typically reported in minutes or hours. This timescale deficit of roughly 9 orders of magnitude presents a major challenge in the design of computer simulation methods for studying protein aggregation events. Thus, coarse-grained molecular simulations of amyloid fibril formation are crucial for understanding the molecular mechanism behind the formation of these structures, which are implicated in diseases such as Alzheimer's, Parkinson's, and Type II diabetes. Network Hamiltonian simulations of aggregation are centered around a Hamiltonian function that returns the total energy of a system of aggregating proteins, given the graph structure of the system as input. In the graph, or network, representation of the system, each protein molecule is represented as a node, and noncovalent bonds between proteins are represented as edges. The parameter, i.e. a set of coefficients that determine the degree to which each topological degree of freedom is favored or disfavored, must be determined for each network Hamiltonian model, and is a well-known technical challenge. Here, a type of artificial intelligence (AI) called a genetic algorithm is introduced for autonomously parameterizing network Hamiltonian models, whereby an initial set of randomly parameterized models, typically of low fibril yield (e.g. < 5 %), is used to initiate the evolution of subsequent model generations, ultimately leading to high fibril yield models (e.g. > 70 %). The methodology is also demonstrated by applying it to optimizing previously published network Hamiltonian models for the 5 key amyloid fibril topologies that have been reported in the Protein Data Bank (PDB), and showing that the models generated by the AI produce fibril yields that surpass or",Why are coarse-grained molecular simulations crucial for understanding the molecular mechanism behind the formation of amyloid fibrils?,"Coarse-grained molecular simulations of amyloid fibril formation are crucial because they help bridge the significant timescale gap between atomistic molecular dynamics simulations and experimental studies, thereby aiding in the study of protein aggregation events which are complex and occur over longer timescales.","['Biomedical engineering and technology', 'Regenerative medicine']",
"acids namely Asp, His, Glu and Cys while a 10.9% belongs to non-canonical amino acids (Asn, Thr, Ser, Gln, Met, Tyr, Lys and Arg). Only the last small fraction (<0.1%) are coordinations with a carboxylate terminal amino acid (Table ). Finally, most common metal-binding sites account with three coordinating amino acids on average (with an interquartile range of 2). On those grounds, BioMetAll works with default parameters that involved canonical amino acids side chains with a number of amino acids per metal-binding sites of three. The user can configure any other possible situation in a user-friendly manner.It is to notice that, besides standard amino acids, exogenous ligands (e.g. water or small molecules) can participate in the coordination of the metal. Although metrics for BioMetAll parameters have been obtained purely on amino acid geometric magnitudes, exogenous ligands could participate in the coordination of the metal on the analyzed set. The calculations we performed so far show that BioMetAll implicitly takes into account the changes in the metal position that those exogenous ligands could cause (as showed latter in the manuscript).",How could exogenous ligands participate in the coordination of the metal in the analyzed set?,"Exogenous ligands, such as water or small molecules, could participate in the coordination of the metal by potentially causing changes in the metal position, as the calculations performed show that BioMetAll implicitly takes these changes into account.","['Metal organic frameworks', 'Catalytic applications']",
"symmetry adapted perturbation theory (SAPT) calculations are performed in Psi4 29 version 1.3. The SAPT2+(CCD)δMP2 variant is applied with the 3-ζ augmented basis sets, following the recommendation of Parker et al. 30 The 5-ζ variants are used as density fitting bases. The r SE e structures based on B2PLYP corrections are used in this set of calculations. In the following text this method is simply called SAPT. The extrapolated WFT calculations are performed in Psi4 29 version 1.3rc1 and later. The extrapolation recipe consists of a Hartree-Fock component (HF/cc-pwcV[TQ5]Z), a MP2 component (MP2/cc-pwcV[Q5]Z), and a CCSD(T) correction to the MP2 correlation (∆CCSD(T)/cc-pwcV[TQ]Z]). All correlated levels of wavefunction theory are used with the frozen-core approximation, with density fitting used throughout. The weighted core-valence basis sets 31 of 3-, 4-, and 5-ζ quality are used here, with the appropriate effective core potentials for Kr, Xe, and Hg atoms. The default auxiliary basis sets for density fitting (up to def2-QZVPPD) are used throughout this work. The extrapolation is performed using the ""cubic"" Helgaker extrapolation formulas. 32 This extrapolation method is called MP2+δ(T) in the following text. Further corrections are applied to the MP2+δ(T) level of theory in the study of the Xe• • •OCS complex: The all-electron correlation, denoted δ AE FC , is estimated by the difference of CCSD(T)/TZP calculations with and without frozen core approximation. To gauge relativistic effects, calculations at the CCSD(T)/TZP-DKH level with the 2nd or 4th order Douglas-Kroll-Hess Hamiltonian are compared to the CCSD(T)/TZP calculations. This correction is denoted δ [2,4] rel , and it is computed using the DKH interface 33 in Psi4, with conventional CCSD(T) used instead of the density-fitted variant in the MP2+δ(T) recipe. The TZP-DKH and TZP basis sets are the 3-ζ quality",What does the extrapolation recipe consist of in addition to a MP2 component and a CCSD(T) correction?,Hartree-Fock component,"['Spectroscopy', 'Optical spectroscopy']",
" of styrenes 10 we selected conditions reported by Hopkinson, Glorius and co-workers where the authors successfully reacted Munavalli's reagent with nBu4NBr to in-situ generate BrSCF3. We conducted the reaction between styrene 1a and reagent I in MeCN at room temperature under blue LED irradiation using cyanoarene 12 derivatives as organophotocatalyst instead of using the iridium-based photocatalyst employed by the Hopkinson and Glorius groups. To our delight, 2.5 mol% of PC1 (4CZIPN) furnished the desired vinyl-SCF3 product 2a in 50% yield (Table , entry 1). Encouraged by this first test, we evaluated other cynaoarene organophotocatalysts. The desired product was observed with PC2, PC3 and PC4 albeit with lower efficiency than with PC1 ). Afterwards, the use of other chloro and iodo ammonium salts also furnished desired product 2a but in only 30% yield (Table ). Using sodium bromide instead of tetra-butylammonium bromide afforded similar yield (Table ). Thus, due to its cost-effectiveness, NaBr was used for the rest of the optimisation. Then, the effect of solvent was studied. While DMF afforded desired product 2a in 40% (Table ), other solvents including toluene, ether, or DCM only provided marginal yields (Table , entries 9-11). Finally, increasing the photocatalyst loading to 5 mol% allows the formation of desired product 2a in an excellent 85% yield (Table , entries 12).",Why was sodium bromide used instead of tetra-butylammonium bromide in the optimization process?,Sodium bromide was used instead of tetra-butylammonium bromide due to its cost-effectiveness.,"['Catalysis', 'Homogeneous catalysis']",
